query,total_impressions,total_clicks,pos_gap,page_a,pos_a,impr_a,page_b,pos_b,impr_b
corporate training in malaysia,5888,0,4.1,/blog/corporate-training-companies-uk,1,1,/blog/corporate-training-companies-malaysia,5.1,5887
explain the difference between personal traits and interpersonal skills.,4384,0,9.2,/blog/personal-vs-interpersonal-skills,5.2,4374,/blog/interpersonal-vs-intrapersonal-skills,14.4,10
south korea work culture,3344,7,6.5,/blog/skills-in-demand-in-south-korea,1,1,/blog/south-korea-work-culture,7.5,3343
role of cfo,2613,0,30.9,/blog/director-of-finance-roles-responsibilities,2,1,/blog/chief-financial-officer-roles-and-responsibilities,32.9,2612
employee development plan,2588,0,42.4,/blog/free-employee-development-plan-templates,34.4,2535,/blog/employee-development-plan-examples,76.8,53
corporate training companies singapore,2576,0,62.7,/blog/corporate-training-companies-singapore,4.2,2541,/,66.9,35
devops engineer,2399,0,68.0,/blog/devops-engineers-skills,1,17,/blog/devops-engineer-roles-responsibilities,69.0,2382
interpersonal skills and intrapersonal skills,2285,11,86.1,/blog/interpersonal-vs-intrapersonal-skills,2.5,2272,/blog/personal-vs-interpersonal-skills,88.6,13
intrapersonal,2213,0,10.7,/blog/personal-vs-interpersonal-skills,2,1,/blog/interpersonal-vs-intrapersonal-skills,12.7,2212
organizational goals,2031,0,12.6,/blog/how-to-set-corporate-training-goals,1,2,/blog/ways-to-achieve-organizational-goals-objectives,13.6,2029
training management system,2009,0,0.3,/blog/key-training-management-system-tms-features,68.7,1119,/training-management-software,69.0,890
inter vs intra personal,1806,0,44.8,/blog/interpersonal-vs-intrapersonal-skills,8.5,1803,/blog/personal-vs-interpersonal-skills,53.3,3
business analysts,1747,0,1.7,/blog/business-analyst-roles-and-responsibilities,42.5,836,/blog/must-have-skills-for-business-analyst,44.2,911
chief financial officer,1671,0,42.7,/blog/director-of-finance-roles-responsibilities,1.5,2,/blog/chief-financial-officer-roles-and-responsibilities,44.2,1669
operation director,1551,0,5.8,/blog/managing-director-roles-responsibilities,1,1,/blog/director-of-operations-roles-responsibilities,6.8,1550
top corporate training company in singapore,1488,0,13,/blog/corporate-training-companies-singapore,2,1487,/,15,1
employee engagement consultant,1487,0,63.5,/blog/top-employee-engagement-consultants,10.7,1340,/employee-engagement-consulting-services,74.2,147
chief technology officer,1473,0,45.6,/blog/chief-innovation-officer-roles-and-responsibilities,1,2,/blog/chief-technology-officer-roles-and-responsibilities,46.6,1471
what is the difference between interpersonal and intrapersonal,1327,0,75.2,/blog/interpersonal-vs-intrapersonal-skills,10.2,1322,/blog/personal-vs-interpersonal-skills,85.4,5
coo job description,1303,0,11,/blog/chief-executive-officer-roles-and-responsibilities,1,9,/blog/chief-operating-officer-roles-and-responsibilities,12,1294
intrapersonal and interpersonal skills,1302,6,76.8,/blog/interpersonal-vs-intrapersonal-skills,3.0,1282,/blog/personal-vs-interpersonal-skills,79.8,20
corporate language training,1192,0,33.8,/,1,1,/blog/corporate-language-training,34.8,1191
chief data officer,1143,0,58.9,/blog/chief-digital-officer-roles-responsibilities,1,2,/blog/chief-data-officer-roles-responsibilities,59.9,1141
companies looking for corporate training,1114,0,24.9,/blog/corporate-training-companies-singapore,5.1,1113,/blog/corporate-training-companies-australia,30,1
employee engagement consulting,1112,0,66.4,/blog/top-employee-engagement-consultants,10,938,/employee-engagement-consulting-services,76.4,174
chief executive officer,1086,0,42.9,/blog/chief-financial-officer-roles-and-responsibilities,1.6,18,/blog/chief-executive-officer-roles-and-responsibilities,44.5,1068
scrum master role,1073,0,47.6,/blog/scrum-master-skills,1,1,/blog/scrum-master-roles-responsibilities,48.6,1072
interpersonal skills vs intrapersonal,1041,0,62.6,/blog/interpersonal-vs-intrapersonal-skills,4.0,1036,/blog/personal-vs-interpersonal-skills,66.6,5
interactive training ideas,1039,0,2.1,/blog/best-corporate-training-activities,10.8,931,/blog/corporate-training-games-for-employees,12.9,108
skills of a manager,1011,0,22.2,/blog/it-manager-skills,12.4,767,/blog/essential-manager-skills,34.6,244
general manager responsibilities,1006,0,51.8,/blog/general-manager-roles-responsibilities,17.9,892,/blog/managing-director-roles-responsibilities,69.7,114
what does a managing director do,996,0,62,/blog/managing-director-roles-responsibilities,9,994,/blog/executive-director-roles-and-responsibilities,71,2
problem solving activities,985,0,11,/blog/leadership-activities-exercises-games-for-employees,1,1,/blog/problem-solving-activities-games-exercises,12,984
edtech companies,955,0,51.0,/blog/top-employee-training-tools,1,1,/blog/top-edtech-companies-in-the-world,52.0,954
technology training for employees,903,0,33.3,/blog/role-of-modern-technology-in-employee-training,56.5,696,/type/it-technical-training,89.8,207
employee engagement consultants,901,0,72.1,/blog/top-employee-engagement-consultants,10.6,767,/employee-engagement-consulting-services,82.7,134
executive role,885,0,4.5,/blog/chief-operating-officer-roles-and-responsibilities,1,1,/blog/executive-director-roles-and-responsibilities,5.5,884
business analyst skills,881,0,27.9,/blog/business-analyst-roles-and-responsibilities,16.7,12,/blog/must-have-skills-for-business-analyst,44.6,869
inter vs intra personal skills,874,0,65.4,/blog/interpersonal-vs-intrapersonal-skills,3.9,871,/blog/personal-vs-interpersonal-skills,69.3,3
intrapersonal vs interpersonal skills,871,0,59.8,/blog/interpersonal-vs-intrapersonal-skills,4.0,854,/blog/personal-vs-interpersonal-skills,63.8,17
leadership conferences,868,0,33.1,/blog/leadership-conferences-in-australia,8.6,467,/blog/leadership-conferences,41.7,401
intra vs interpersonal,820,0,79.7,/blog/interpersonal-vs-intrapersonal-skills,7.3,811,/blog/personal-vs-interpersonal-skills,87,9
leadership challenges,798,0,56.0,/blog/transform-managers-to-leaders,1,1,/blog/common-leadership-challenges,57.0,797
managing director responsibilities,795,0,42.4,/blog/managing-director-roles-responsibilities,10.7,778,/blog/executive-director-roles-and-responsibilities,53.1,17
hr manager,791,0,2.2,/blog/hr-manager-skills,1.8,4,/blog/hr-manager-roles-responsibilities,4,787
skills manager,789,0,38.1,/blog/it-manager-skills,10.9,786,/blog/essential-manager-skills,49,3
product manager job description,787,0,46.5,/blog/product-manager-skills,4,1,/blog/product-manager-roles-responsibilities,50.5,786
jobs near me no degree,782,0,1.1,/blog/skills-in-demand-in-russia,2,1,/blog/skills-in-demand-in-china,3.1,781
who are the leading corporate training providers in the uae?,763,0,3.1,/,1,1,/blog/corporate-training-companies-dubai,4.1,762
professional goals,757,0,29.8,/blog/professional-development-training-topics,3,1,/blog/professional-development-goals,32.8,756
employee skill development,737,0,52.5,/blog/employee-skill-development-guide,36.0,735,/blog/what-is-employee-training-and-development,88.5,2
corporate training videos,731,0,34.0,/,17,5,/blog/must-watch-corporate-training-videos,51.0,726
how to improve iot skills,711,0,262.9,/blog/top-iot-skills-to-learn,7.1,710,/category/iot-training,270,1
employee engagement consulting services market,704,0,47.4,/blog/top-employee-engagement-consultants,33.8,545,/employee-engagement-consulting-services,81.2,159
employee growth plan,700,0,47.7,/blog/free-employee-development-plan-templates,24.3,699,/blog/employee-development-plan-examples,72,1
business analyst role responsibilities,693,0,9.5,/blog/must-have-skills-for-business-analyst,1,1,/blog/business-analyst-roles-and-responsibilities,10.5,692
sales team building,687,0,52.5,/blog/sales-team-activities-exercises-games,6,502,/blog/how-to-build-high-performing-sales-team,58.5,185
head of development,679,0,39.4,/blog/head-of-business-development-roles-responsibilities,8.0,652,/blog/director-of-organizational-development-roles-responsibilities,47.4,27
what are the main responsibilities of a business analyst?,678,0,5.1,/blog/must-have-skills-for-business-analyst,4,1,/blog/business-analyst-roles-and-responsibilities,9.1,677
employee training management software,678,0,50.3,/blog/top-employee-training-tools,1,4,/training-management-software,51.3,674
employee engagement consultancy,671,0,75.3,/blog/top-employee-engagement-consultants,11,629,/employee-engagement-consulting-services,86.3,42
skills for csr,662,0,3.0,/blog/soft-skills-for-customer-service,41.3,241,/blog/must-have-customer-service-skills,44.3,421
sales training solutions,655,0,5.2,/category/sales-training,65,1,/blog/sales-training-companies,70.2,654
